i_plus,i_minus,v_plus,v_minus,percent_error,threshold_percent,status
E7,E8,E5,E6,200.0000,10.0000,FAIL
E10,E11,E1,E2,200.0000,10.0000,FAIL
E5,E6,E2,E3,200.0000,10.0000,FAIL
E5,E6,E3,E4,200.0000,10.0000,FAIL
E12,E1,E3,E4,200.0000,10.0000,FAIL
E5,E6,E1,E2,200.0000,10.0000,FAIL
E6,E7,E4,E5,200.0000,10.0000,FAIL
E6,E7,E10,E11,200.0000,10.0000,FAIL
E3,E4,E7,E8,200.0000,10.0000,FAIL
E3,E4,E8,E9,200.0000,10.0000,FAIL
E4,E5,E7,E8,200.0000,10.0000,FAIL
E1,E2,E4,E5,200.0000,10.0000,FAIL
E10,E11,E4,E5,200.0000,10.0000,FAIL
E11,E12,E9,E10,200.0000,10.0000,FAIL
E5,E6,E11,E12,200.0000,10.0000,FAIL
E8,E9,E2,E3,200.0000,10.0000,FAIL
E12,E1,E10,E11,200.0000,10.0000,FAIL
E7,E8,E11,E12,200.0000,10.0000,FAIL
E10,E11,E7,E8,200.0000,10.0000,FAIL
E11,E12,E1,E2,200.0000,10.0000,FAIL
E8,E9,E11,E12,200.0000,10.0000,FAIL
E2,E3,E7,E8,200.0000,10.0000,FAIL
E9,E10,E2,E3,200.0000,10.0000,FAIL
E5,E6,E10,E11,200.0000,10.0000,FAIL
E3,E4,E9,E10,200.0000,10.0000,FAIL
E6,E7,E2,E3,200.0000,10.0000,FAIL
E6,E7,E3,E4,200.0000,10.0000,FAIL
E4,E5,E9,E10,200.0000,10.0000,FAIL
E10,E11,E8,E9,200.0000,10.0000,FAIL
E11,E12,E6,E7,200.0000,10.0000,FAIL
E11,E12,E4,E5,200.0000,10.0000,FAIL
E1,E2,E3,E4,200.0000,10.0000,FAIL
E12,E1,E2,E3,200.0000,10.0000,FAIL
E4,E5,E8,E9,198.1005,10.0000,FAIL
E8,E9,E5,E6,186.2122,10.0000,FAIL
E2,E3,E4,E5,155.9363,10.0000,FAIL
E10,E11,E3,E4,111.7051,10.0000,FAIL
E5,E6,E9,E10,111.6176,10.0000,FAIL
E11,E12,E2,E3,108.2406,10.0000,FAIL
E12,E1,E4,E5,103.9375,10.0000,FAIL
E2,E3,E10,E11,103.3151,10.0000,FAIL
E11,E12,E3,E4,94.7190,10.0000,FAIL
E5,E6,E12,E1,51.4054,10.0000,FAIL
E8,E9,E1,E2,24.6391,10.0000,FAIL
E9,E10,E1,E2,17.6311,10.0000,FAIL
E7,E8,E1,E2,17.5410,10.0000,FAIL
E1,E2,E6,E7,14.6450,10.0000,FAIL
E12,E1,E8,E9,8.3948,10.0000,OK
E9,E10,E12,E1,3.6453,10.0000,OK
E6,E7,E8,E9,1.6349,10.0000,OK
E12,E1,E7,E8,1.4926,10.0000,OK
E6,E7,E9,E10,1.1559,10.0000,OK
E6,E7,E12,E1,0.6069,10.0000,OK
E9,E10,E7,E8,0.5781,10.0000,OK
